model,AIC,BIC
"SARIMA (1, 0, 0)(2, 1, 0)[12]",4492.081597,4505.582711
"SARIMA (1, 0, 0)(2, 1, 1)[12]",4488.415471,4505.291863
"SARIMA (1, 0, 0)(2, 1, 2)[12]",4485.755289,4506.006959
"SARIMA (1, 0, 0)(2, 1, 3)[12]",4485.57865,4509.205599
"SARIMA (1, 0, 0)(3, 0, 0)[12]",4826.78937,4843.936099
"SARIMA (1, 0, 0)(3, 0, 1)[12]",4824.873124,4845.449197
"SARIMA (1, 0, 0)(3, 0, 2)[12]",4724.906074,4748.911493
"SARIMA (1, 0, 0)(3, 0, 3)[12]",4823.149585,4850.58435
"SARIMA (1, 0, 0)(3, 1, 0)[12]",4492.521399,4509.397791
"SARIMA (1, 0, 0)(3, 1, 1)[12]",4488.049329,4508.300999
"SARIMA (1, 0, 0)(3, 1, 2)[12]",4486.924355,4510.551304
"SARIMA (1, 0, 0)(3, 1, 3)[12]",4487.419736,4514.421963
"SARIMA (1, 0, 1)(0, 0, 0)[12]",4917.93465,4928.222687
"SARIMA (1, 0, 1)(0, 0, 1)[12]",4856.533108,4870.25049
"SARIMA (1, 0, 1)(0, 0, 2)[12]",4846.37634,4863.523068
"SARIMA (1, 0, 1)(0, 0, 3)[12]",4833.632035,4854.208109
"SARIMA (1, 0, 1)(0, 1, 0)[12]",4551.340778,4561.466613
"SARIMA (1, 0, 1)(0, 1, 1)[12]",4483.897557,4497.398671
"SARIMA (1, 0, 1)(0, 1, 2)[12]",4485.832068,4502.70846
"SARIMA (1, 0, 1)(0, 1, 3)[12]",4487.191889,4507.443559
"SARIMA (1, 0, 1)(1, 0, 0)[12]",4823.083419,4836.800802
"SARIMA (1, 0, 1)(1, 0, 1)[12]",4799.61608,4816.762808
"SARIMA (1, 0, 1)(1, 0, 2)[12]",4801.519791,4822.095865
"SARIMA (1, 0, 1)(1, 0, 3)[12]",4717.138873,4741.144293
